No,区分,販路,購入日,年月,仕入サービス,注文ID,出品者,商品名,単価,数量,送料,実支払額,状態
1,購入済在庫,ebay,2025-12-26,2025-12,メルカリ,m15356289563,キー,彫刻刀,3000,1,0,3000,発送通知
2,購入済在庫,ebay,2026-01-27,2026-01,メルカリ,m45460896122,"""TRY""古道具と暮らす",ワ*ド様 ★【ジャンク品】甚五郎 彫刻刀 6本セット＋6本セット＋4本セット,400,1,0,400,発送通知
3,購入済在庫,ebay,2026-03-07,2026-03,メルカリ,m99673032962,yasu1981,ドラゴンボールZ ゴールドメダル,1222,1,0,1222,発送通知
4,購入済在庫,ebay,2026-03-09,2026-03,メルカリ,m30443791338,たみネコ,金沢マラソン2022フィニッシャーメダル,500,1,0,500,発送通知
5,購入済在庫,ebay,2026-03-09,2026-03,メルカリ,m63174323197,おかけん,熊本城マラソン2025 完走メダル,478,1,0,478,発送通知
6,購入済在庫,ebay,2026-03-10,2026-03,メルカリ,m15706748638,ろん,金沢マラソン2024 完走メダル,400,1,0,400,発送通知
7,購入済在庫,ebay,2026-03-10,2026-03,メルカリ,m24580894354,May1004,大阪マラソン 2017完走メダル,350,1,0,350,発送通知
8,購入済在庫,ebay,2026-03-10,2026-03,メルカリ,m61715197161,ちっち,JR西日本ポケモンスタンプラリー　記念メダル　ピカチュウ,300,1,0,300,発送通知
9,購入済在庫,ebay,2026-03-11,2026-03,メルカリ,m77589539681,おやまかー,マラソンメダル色々,1500,1,0,1500,発送通知
10,購入済在庫,ebay,2026-03-11,2026-03,メルカリ,m19774743652,KSOY,ワ*ド様 国宝松江城マラソン メダルセット 2022-2024,460,1,0,460,発送通知
11,購入済在庫,ebay,2026-03-11,2026-03,メルカリ,m68607494955,三興物販 SANKOホビーShop神奈川,ワ*ド様 ホノルルマラソンFINISHERメダル 3種 内装ビニール未開封,400,1,0,400,発送通知
12,購入済在庫,ebay,2026-06-06,2026-06,メルカリ,m91740280114,ぶーすか,彫刻刀,300,1,0,300,発送通知
13,購入済在庫,ebay,2026-06-06,2026-06,メルカリ,m46011907198,たいこ,彫刻刀五本 秘剣 キクイチ,300,1,0,300,発送通知
14,購入済在庫,ebay,2026-06-07,2026-06,メルカリ,m59232629132,きりん,よしはる彫刻刀セット 造形教育用 5本組,440,1,0,440,発送通知
15,購入済在庫,ebay,2026-06-08,2026-06,メルカリ,m98730704440,ゆっこ(^.^)✿全品低価格,甚五郎 彫刻刀 8本セット 砥石付き,300,1,0,300,発送通知
16,購入済在庫,ebay,2026-06-08,2026-06,メルカリ,m49115274467,me☆,彫刻刀セット 5本入り,300,1,0,300,発送通知
17,購入済在庫,ebay,2026-06-10,2026-06,メルカリ,m95370295353,柚葉,トンボ印 彫刻刀 8本 日の丸 工具 文房具 版画 工作 図工 美術 用,320,1,0,320,発送通知
18,購入済在庫,ebay,2026-06-13,2026-06,メルカリ,m72210451668,あきあきあき,彫刻刀,300,1,0,300,発送通知
19,購入済在庫,ebay,2026-06-26,2026-06,メルカリ,m72937496683,レン☆レン,ロダンの彫刻刀 6本セット 木彫り,300,1,0,300,発送通知
20,購入済在庫,ebay,2026-06-27,2026-06,メルカリ,m76240828523,あんこもちもちピーナッツプリンアラモード,よしはる彫刻刀 5本セット 砥石付き,300,1,0,300,発送通知
