No,ページ,年月日,摘要,相手先・内容,お預り金額,お支払金額,現在高
1,2,2026-02-27,自払,オリコ,,833218,11173
2,2,2026-02-27,自払,ライフカード カブ,,2200,8973
3,2,2026-02-27,振込,パイオニア ジヤパン,30522,,39495
4,2,2026-02-27,振込,パイオニア ジヤパン,69920,,109415
5,2,2026-03-02,振込,パイオニア ジヤパン,91293,,200708
6,2,2026-03-06,振込,パイオニア ジヤパン,135132,,335840
7,2,2026-03-10,振込,パイオニア ジヤパン,87762,,423602
8,2,2026-03-13,振込,パイオニア ジヤパン,146014,,569616
9,2,2026-03-16,振込,パイオニア ジヤパン,87205,,656821
10,2,2026-03-18,振込,パイオニア ジヤパン,77876,,734697
11,2,2026-03-27,自払,オリコ,,712792,21905
12,2,2026-03-30,振込,パイオニア ジヤパン,31262,,53167
13,3,2026-04-01,利子,受取利子606（利子715・税金109）,606,,53773
14,3,2026-04-13,振込,パイオニア ジヤパン,13662,,67435
15,3,2026-04-23,カード,セブンイレブンシヨウ（ATM預入）,400000,,467435
16,3,2026-04-23,手数料,ATM手数料,,330,467105
17,3,2026-04-26,カード,セブンイレブンシヨウ（ATM預入）,175000,,642105
18,3,2026-04-26,手数料,ATM手数料,,330,641775
19,3,2026-04-27,自払,オリコ,,628687,13088
20,3,2026-05-26,振込,パイオニア ジヤパン,9631,,22719
21,3,2026-05-26,振込,カード（01423）,30000,,52719
22,3,2026-05-27,自払,オリコ,,47898,4821
23,4,2026-06-29,カード,セブンイレブンシヨウ（ATM預入）,15000,,19821
24,4,2026-06-29,手数料,ATM手数料,,330,19491
25,4,2026-06-29,自払,オリコ,,15634,3857
26,4,2026-07-17,振込,パイオニア ジヤパン,146363,,150220
27,4,2026-07-27,自払,オリコ,,37756,112464
28,4,2026-08-19,振込,パイオニア ジヤパン,144113,,256577
