date,currency,jpy_rate
2025-07-01,USD,143.402
2025-07-02,USD,143.526
2025-07-03,USD,144.682
2025-07-04,USD,144.459
2025-07-05,USD,144.469
2025-07-06,USD,144.498
2025-07-07,USD,145.892
2025-07-08,USD,146.849
2025-07-09,USD,146.114
2025-07-10,USD,146.288
2025-07-11,USD,147.411
2025-07-12,USD,146.54
2025-07-13,USD,147.295
2025-07-14,USD,147.792
2025-07-15,USD,148.761
2025-07-16,USD,148.003
2025-07-17,USD,148.442
2025-07-18,USD,148.799
2025-07-19,USD,148.789
2025-07-20,USD,148.431
2025-07-21,USD,147.409
2025-07-22,USD,146.785
2025-07-23,USD,146.349
2025-07-24,USD,147.005
2025-07-25,USD,147.651
2025-07-26,USD,147.651
2025-07-27,USD,147.813
2025-07-28,USD,148.479
2025-07-29,USD,148.442
2025-07-30,USD,149.226
2025-07-31,USD,150.772
2025-08-01,USD,147.379
2025-08-02,USD,147.39
2025-08-03,USD,147.343
2025-08-04,USD,146.793
2025-08-05,USD,147.56
2025-08-06,USD,147.193
2025-08-07,USD,146.837
2025-08-08,USD,147.653
2025-08-09,USD,147.643
2025-08-10,USD,147.664
2025-08-11,USD,148.125
2025-08-12,USD,147.758
2025-08-13,USD,147.12
2025-08-14,USD,147.691
2025-08-15,USD,147.12
2025-08-16,USD,147.12
2025-08-17,USD,147.264
2025-08-18,USD,147.916
2025-08-19,USD,147.731
2025-08-20,USD,147.318
2025-08-21,USD,148.386
2025-08-22,USD,146.964
2025-08-23,USD,146.954
2025-08-24,USD,147.215
2025-08-25,USD,147.822
2025-08-26,USD,147.462
2025-08-27,USD,147.316
2025-08-28,USD,146.79
2025-08-29,USD,147.049
2025-08-30,USD,147.02
2025-08-31,USD,147.097
2025-09-01,USD,147.084
2025-09-02,USD,148.548
2025-09-03,USD,147.98
2025-09-04,USD,148.375
2025-09-05,USD,147.396
2025-09-06,USD,147.39
2025-09-07,USD,148.344
2025-09-08,USD,147.364
2025-09-09,USD,147.392
2025-09-10,USD,147.332
2025-09-11,USD,147.224
2025-09-12,USD,147.708
2025-09-13,USD,147.698
2025-09-14,USD,147.666
2025-09-15,USD,147.405
2025-09-16,USD,146.413
2025-09-17,USD,146.891
2025-09-18,USD,147.947
2025-09-19,USD,147.931
2025-09-20,USD,147.91
2025-09-21,USD,148.095
2025-09-22,USD,147.725
2025-09-23,USD,147.613
2025-09-24,USD,148.751
2025-09-25,USD,149.861
2025-09-26,USD,149.566
2025-09-27,USD,149.556
2025-09-28,USD,149.405
2025-09-29,USD,148.595
2025-09-30,USD,147.997
